"Publish Date","Creation Date","Title","Status","Label Color","Label Name","Project Types","Project Owner","Description","Tags","Marketing Campaign","Link"
"17/02/2026","06/11/2025","(TENTATIVE 1) Canadian Legacy Project report launch","Not Started","FF0000","ONLY PUBLISH THIS","Promotion plan","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7601772"
"05/02/2026","29/08/2025","Atlas Navigator","Placeholder","FFAA00","MMC","Newsletter","Tactical Squad","","MMC, Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7361885"
"02/02/2026","14/11/2025","Veteran Family Summit wrap up","Placeholder","FFE900","TENTATIVE HOLD","Mailchimp","Tactical Squad","Would prefer Tuesday - ask the team","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7636600"
"28/01/2026","10/07/2025","Veteran Family Summit","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7251817"
"26/01/2026","13/11/2025","In her words - Connie Uetz post","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad - Backup","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7632278"
"20/01/2026","28/07/2025","Last call for RCMP dialogue session","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad - Backup","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7288455"
"19/01/2026","10/07/2025","Veteran Family Summit","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7251806"
"13/01/2026","10/07/2025","Veteran Family Summit","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7251805"
"12/01/2026","26/02/2025","MHCP Launch (Tentative)","Placeholder","FFE900","TENTATIVE HOLD","Blog post","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/6822755"
"08/01/2026","29/08/2025","Atlas Navigator","Placeholder","FFAA00","MMC","Newsletter","Tactical Squad","","MMC, Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7361883"
"07/01/2026","10/07/2025","Veteran Family Summit - Registration #3","Not Started","FFE900","TENTATIVE HOLD","Mailchimp","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7251812"
"07/01/2026","10/07/2025","Veteran Family Summit","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7251802"
"05/01/2026","13/11/2025","In her words - Guylaine Lamoureux post","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad - Backup","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7632277"
"02/01/2026","28/07/2025","RCMP dialogue sessions - February dates","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad - Backup","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7288453"
"01/01/2026","02/10/2025","Atlas Navigator","Placeholder","FFAA00","MMC","Newsletter","Tactical Squad","","MMC, Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7452871"
"30/12/2025","10/07/2025","Veteran Family Summit","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7251798"
"24/12/2025","27/10/2025","Holiday campaign: NORAD","Not Started","21FF00","PUBLISH ANYTHING","Social Campaign","Tactical Squad","","Commemoration, Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7556371"
"23/12/2025","27/10/2025","Holiday campaign: Marcia Chafe","Not Started","21FF00","PUBLISH ANYTHING","Social Campaign","Tactical Squad","","Commemoration, Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7556355"
"22/12/2025","10/07/2025","Veteran Family Summit","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7251795"
"19/12/2025","10/07/2025","Veteran Family Summit","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7251790"
"19/12/2025","14/11/2025","Holiday message","Placeholder","FF0000","ONLY PUBLISH THIS","Mailchimp","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7635936"
"18/12/2025","27/10/2025","Holiday campaign: Coping","Not Started","21FF00","PUBLISH ANYTHING","Social Campaign","Tactical Squad","","Commemoration, Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7556360"
"17/12/2025","13/11/2025","In her words - Shauna Mulligan post","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad - Backup","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7632276"
"16/12/2025","27/10/2025","Holiday campaign: Danielle Kelly ","Not Started","21FF00","PUBLISH ANYTHING","Social Campaign","Tactical Squad","","Commemoration, Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7556353"
"15/12/2025","10/07/2025","Veteran Family Summit ","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7251797"
"12/12/2025","27/10/2025","Holiday campaign: supporting kids","Not Started","21FF00","PUBLISH ANYTHING","Social Campaign","Tactical Squad","","Commemoration, Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7556352"
"11/12/2025","10/07/2025","Veteran Family Summit","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7251788"
"10/12/2025","07/11/2025","16 days of activism: IPV 2","Not Started","FFE900","TENTATIVE HOLD","Social post","Tactical Squad","","Krystle","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7606834"
"08/12/2025","27/10/2025","Holiday campaign: Polly's video","Not Started","21FF00","PUBLISH ANYTHING","Social Campaign","Tactical Squad","","Commemoration, Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7556350"
"07/12/2025","07/11/2025","16 days of activism: MST coping and healing","Not Started","FFE900","TENTATIVE HOLD","Social post","Tactical Squad","","Krystle","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7606833"
"06/12/2025","27/10/2025","Atlas Navigator","Not Started","21FF00","PUBLISH ANYTHING","Social Campaign","Tactical Squad","","Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7556342"
"05/12/2025","30/10/2025","Veteran Family Summit","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad","Day 2 speakers","Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7572119"
"05/12/2025","30/10/2025","Veteran Family Summit","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad","Day 2 speakers","Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7571585"
"04/12/2025","27/10/2025","Holiday campaign: Holiday stress video","Not Started","21FF00","PUBLISH ANYTHING","Social Campaign","Tactical Squad","","Commemoration, Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7556348"
"04/12/2025","29/08/2025","Atlas Navigator","Placeholder","FFAA00","MMC","Newsletter","Tactical Squad","","MMC, Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7361873"
"04/12/2025","04/09/2025","Atlas Navigator","Placeholder","FFAA00","MMC","Newsletter","Tactical Squad","","MMC, Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7375903"
"03/12/2025","07/11/2025","16 days of activism: MST health care providers","Not Started","FFE900","TENTATIVE HOLD","Social post","Tactical Squad","","Krystle","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7606828"
"03/12/2025","03/11/2025","Cannabis study social promo","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad - Backup","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7586666"
"02/12/2025","30/10/2025","Veteran Family Summit","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad","Day 1 speakers","Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7571787"
"02/12/2025","10/07/2025","Veteran Family Summit","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad","Day 1 speakers","Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7251784"
"01/12/2025","13/11/2025","In her words - Sarah Lefurgey post","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad - Backup","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7632274"
"01/12/2025","17/10/2025","Holiday campaign: Video from Jeanette","Not Started","21FF00","PUBLISH ANYTHING","Social Campaign","Tactical Squad","","Commemoration, Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7514953"
"29/11/2025","07/11/2025","16 days of activism: IPV + holidays","Not Started","FFE900","TENTATIVE HOLD","Social post","Tactical Squad","","Krystle","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7606825"
"27/11/2025","20/11/2025","Workshop promo","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad - Backup","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7660518"
"27/11/2025","27/10/2025","Perspectives/MBtM Email","Not Started","FF0000","ONLY PUBLISH THIS","Mailchimp","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7556058"
"27/11/2025","27/10/2025","MBtM Ep 33: Ryan Carey (TBI)","Not Started","FFE900","TENTATIVE HOLD","Blog post","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7556053"
"26/11/2025","10/07/2025","Veteran Family Summit - Reminder #2","Not Started","FFE900","TENTATIVE HOLD","Mailchimp","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7251808"
"26/11/2025","10/07/2025","Veteran Family Summit","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad","Registration reminder","Lived Experience, Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7251761"
"26/11/2025","21/11/2025","Veteran Family Summit 2026 - November registration reminder - EN","Not Started","","","Mailchimp","","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7665614"
"25/11/2025","07/11/2025","International Day for Prevention of Violence Against Women: What is IPV","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad","","Commemoration, Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7606773"
"25/11/2025","17/10/2025","International Day for Prevention of Violence Against Women: What is MST","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad","","Commemoration, Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7514941"
"24/11/2025","17/10/2025","Holiday campaign: Hope in hand","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad","","Commemoration, Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7514945"
"22/11/2025","17/10/2025","International Survivors of Suicide Loss Day","Not Started","21FF00","PUBLISH ANYTHING","Social Campaign","Tactical Squad","","Commemoration, Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7514943"
"21/11/2025","10/07/2025","Veteran Family Summit","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad","Natacha Dupuis","Lived Experience, Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7251760"
"20/11/2025","14/11/2025","Holiday campaign 2025 - E","Published","","","Mailchimp","","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7635898"
"20/11/2025","20/11/2025","Holiday campaign 2025 - FR","Published","","","Mailchimp","","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7660068"
"20/11/2025","14/10/2025","Holiday campaign","Not Started","FF0000","ONLY PUBLISH THIS","Mailchimp","Tactical Squad","","Lived Experience, Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7500969"
"19/11/2025","14/10/2025","Holiday campaign launch","Not Started","FF0000","ONLY PUBLISH THIS","Social Campaign","Tactical Squad","","Lived Experience, Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7500971"
"17/11/2025","28/07/2025","Last call for RCMP dialogue session","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad - Backup","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7288452"
"14/11/2025","08/09/2025","Research training modules promo","Not Started","FF0000","ONLY PUBLISH THIS","Social Campaign","Tactical Squad - Backup","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7385560"
"14/11/2025","14/11/2025","MBtM Ep 32 + Blog — EN (copy 01)","Not Started","","","Mailchimp","","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7636404"
"14/11/2025","14/11/2025","Montreal roundtable (FR only) - For Claire - FINAL REMINDER","Not Started","","","Mailchimp","","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7636264"
"14/11/2025","14/11/2025","Montreal roundtable (FR only) - For Claire - REMINDER","Not Started","","","Mailchimp","","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7636265"
"13/11/2025","10/07/2025","Veteran Family Summit: Sheri Lux","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad","","Lived Experience, Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7251733"
"13/11/2025","05/11/2025","AVA webinar reshares","Not Started","FFE900","TENTATIVE HOLD","Social post","Tactical Squad","","Krystle","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7595942"
"12/11/2025","07/11/2025","Team Atlas Remembrance activities wrap-up","Not Started","FFE900","TENTATIVE HOLD","Social post","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7607069"
"12/11/2025","16/09/2025","Atlas Navigator","Not Started","21FF00","PUBLISH ANYTHING","Social Campaign","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7405552"
"12/11/2025","10/11/2025","Hiring reshare","Not Started","21FF00","PUBLISH ANYTHING","Social Campaign","Tactical Squad","","Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7616360"
"11/11/2025","16/09/2025","Remembrance Day","Not Started","FF0000","ONLY PUBLISH THIS","Social Campaign","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7405562"
"10/11/2025","16/09/2025","Veterans Week: Andrew & Elizabeth","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7405564"
"10/11/2025","03/11/2025","Veterans Week Op-ed","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7588063"
"09/11/2025","16/09/2025","Veterans Week: Colin","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7405563"
"09/11/2025","28/10/2025","First Nations Veterans Summit Wrap-up","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7560750"
"08/11/2025","16/09/2025","National Indigenous Veterans Day","Not Started","FF0000","ONLY PUBLISH THIS","Social Campaign","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7405548"
"07/11/2025","16/09/2025","Veterans Week: Tabitha","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7405561"
"07/11/2025","30/10/2025","Ukraine meeting recap","Not Started","21FF00","PUBLISH ANYTHING","Social post","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7571809"
"06/11/2025","04/11/2025","Atlas Navigator - Issue 17 - November 2025 - EN","Published","","","Mailchimp","","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7591223"
"06/11/2025","04/11/2025","Atlas Navigator - Issue 17 - November 2025 - FR","Published","","","Mailchimp","","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7591765"
"06/11/2025","16/09/2025","Veterans Week: Kathleen","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7405551"
"06/11/2025","29/08/2025","Atlas Navigator","Placeholder","FFAA00","MMC","Newsletter","Tactical Squad","","MMC, Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7361871"
"05/11/2025","05/11/2025","Veterans Week 2025 — FR","Published","","","Mailchimp","","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7597830"
"05/11/2025","05/11/2025","Veterans Week 2025 — EN","Published","","","Mailchimp","","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7597831"
"05/11/2025","16/09/2025","Veterans Week","Placeholder","FF0000","ONLY PUBLISH THIS","Mailchimp","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7405547"
"05/11/2025","16/09/2025","Veterans Week","Not Started","FF0000","ONLY PUBLISH THIS","Social Campaign","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7405546"
"03/11/2025","30/10/2025","Share of Justin Woodcock LI: Indigenous Veterans Day in MB","Not Started","FFE900","TENTATIVE HOLD","Social post","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7570974"
"31/10/2025","27/10/2025","Gagetown NB Career Fair Social","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7557201"
"30/10/2025","05/09/2025","Unmet health needs study promo","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad - Backup","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7379833"
"29/10/2025","29/10/2025","Montreal roundtable (FR only) - For Claire","Not Started","","","Mailchimp","","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7566814"
"29/10/2025","22/10/2025","Job posting: LE Lead, Veterans","Not Started","21FF00","PUBLISH ANYTHING","Social Campaign","Tactical Squad","Flexible, must be posted before Nov 7","Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7535015"
"28/10/2025","10/07/2025","Veteran Family Summit: Gary Hollender","Placeholder","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad","Flexible","Lived Experience, Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7251689"
"27/10/2025","27/10/2025","Virtual RCMP dialogue session - December - BIL","Not Started","","","Mailchimp","","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7557175"
"27/10/2025","16/10/2025","Booth promo: Gagetown career fair (Oct 30)","Not Started","21FF00","PUBLISH ANYTHING","Social post","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7510820"
"27/10/2025","28/07/2025","RCMP Dialogue session - December dates","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad - Backup","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7288451"
"23/10/2025","21/10/2025","MBtM Ep 32 + Blog — FR","Published","","","Mailchimp","","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7531415"
"23/10/2025","21/10/2025","MBtM Ep 32 + Blog — EN","Published","","","Mailchimp","","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7531414"
"23/10/2025","23/09/2025","Sleep study promo","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad - Backup","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7422555"
"23/10/2025","09/10/2025","Podcast + blog email","Not Started","FF0000","ONLY PUBLISH THIS","Mailchimp","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7478904"
"23/10/2025","09/10/2025","Podcast episode 32","Not Started","21FF00","PUBLISH ANYTHING","Blog post","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7478903"
"22/10/2025","23/09/2025","Podcast recording — Ryan Carey","Not Started","21FF00","PUBLISH ANYTHING","Blog post","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7422591"
"22/10/2025","14/08/2025","CIMVHR post","Not Started","FF0000","ONLY PUBLISH THIS","Social Campaign","Tactical Squad - Backup","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7327358"
"22/10/2025","22/10/2025","GG symposium","Not Started","21FF00","PUBLISH ANYTHING","Social Campaign","Tactical Squad","","Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7534957"
"21/10/2025","21/10/2025","Blog + Co-Created Podcast — EN (copy 01)","Not Started","","","Mailchimp","","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7531664"
"21/10/2025","14/08/2025","CIMVHR post","Not Started","FF0000","ONLY PUBLISH THIS","Social Campaign","Tactical Squad - Backup","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7327360"
"20/10/2025","14/08/2025","CIMVHR post","Not Started","FF0000","ONLY PUBLISH THIS","Social Campaign","Tactical Squad - Backup","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7327359"
"20/10/2025","20/10/2025","Lorem ipsum - Test","Not Started","","","Mailchimp","","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7525636"
"17/10/2025","14/08/2025","CIMVHR post","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad - Backup","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7327357"
"16/10/2025","03/10/2025","Veteran Family Summit: FB/LI event pages","Not Started","21FF00","PUBLISH ANYTHING","Social Campaign","Tactical Squad","","Meg","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7456140"
"15/10/2025","15/10/2025","Testing","Not Started","","","Mailchimp","","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7506262"
"15/10/2025","15/10/2025","Hello world","Not Started","","","Mailchimp","","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7506191"
"15/10/2025","09/10/2025","CIMVHR neurofeedback demo post","Not Started","21FF00","PUBLISH ANYTHING","Social Campaign","Tactical Squad - Backup","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7479727"
"15/10/2025","15/10/2025","Testing","Not Started","","","Mailchimp","","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7504309"
"14/10/2025","08/10/2025","Research training program 2025 modules promo — FR","Published","","","Mailchimp","","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7475229"
"14/10/2025","08/10/2025","Research training program 2025 modules promo — EN","Published","","","Mailchimp","","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7475230"
"14/10/2025","08/09/2025","Research training modules promo","Not Started","FF0000","ONLY PUBLISH THIS","Social Campaign","Tactical Squad - Backup","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7385561"
"10/10/2025","08/09/2025","World Mental Health Day","Not Started","21FF00","PUBLISH ANYTHING","Social Campaign","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7385626"
"09/10/2025","18/09/2025","TW/X only — PTSD webinar wrap-up post","Not Started","21FF00","PUBLISH ANYTHING","Social post","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7411252"
"09/10/2025","05/09/2025","Unmet health needs study promo","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad - Backup","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7379832"
"09/10/2025","22/05/2025","Demystifying PTSD Webinar 3 — Veterans and Families","Not Started","21FF00","PUBLISH ANYTHING","Event","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7146696"
"09/10/2025","09/10/2025","CIMVHR Reception 2025 thank you for attending - BIL","Not Started","","","Mailchimp","","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7479089"
"09/10/2025","09/10/2025","CIMVHR Reception 2025 Final details - BIL (copy 01)","Not Started","","","Mailchimp","","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7479052"
"09/10/2025","09/10/2025","CIMVHR Reception 2025 Final details - BIL","Not Started","","","Mailchimp","","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7478799"
"08/10/2025","08/10/2025","CIMVHR Reception 2025 RSVP extension - BIL","Not Started","","","Mailchimp","","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7474994"
"07/10/2025","07/10/2025","ACVA post","Not Started","FFE900","TENTATIVE HOLD","Social Campaign","Tactical Squad - Backup","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7470581"
"07/10/2025","02/10/2025","PE training 2026 launch — FR","Published","","","Mailchimp","","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7453363"
"07/10/2025","02/10/2025","PE training 2026 launch — EN","Published","","","Mailchimp","","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7453364"
"07/10/2025","04/09/2025","Registration live: PE training - FULL MAILING LIST","Not Started","FF0000","ONLY PUBLISH THIS","Eblast","Tactical Squad","","","","https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7375804"
